Date,NFT,REIT,AAA,TY,BTC,ETH,OIL,GOLD,S&P
3/19/2019,-0.039249762,-0.000267005,-0.001838923,2.614,0.009547038,0.008178812,0.013461418,-0.003454235,-0.000130615
3/20/2019,0.016479774,0.003465436,0.005801355,2.535,0.003992357,0.001188881,0.002503966,0.004296792,-0.002948666
3/21/2019,-0.114815674,0.015261589,0.001797335,2.537,-0.014328402,-0.02921207,-0.015795993,0.004202168,0.01079405
3/25/2019,-0.17530688,-0.000331739,0.002697774,2.42,-0.014801996,-0.014380931,0.018862129,-0.005765891,-0.000839425
3/26/2019,0.317256843,0.001312561,0.001789388,2.414,0.005538473,0.003174499,-0.0088815,-0.003353406,0.007157105
3/27/2019,-0.375673788,0.003060468,0.00352352,2.374,0.025269802,0.039996871,-0.001853256,-0.015463631,-0.004655199
3/28/2019,0.883500909,0.001760411,-0.000304576,2.389,-0.004403784,-0.011210246,0.014065872,0.002477932,0.003583117
4/1/2019,0.521860218,-0.004416506,-0.00671436,2.497,0.012773998,0.002232076,0.015946219,0.00124108,0.011502182
4/2/2019,0.577676285,0.005294742,0.001058323,2.481,0.16004198,0.145001717,-0.001919386,-7.75E-05,1.74E-05
4/3/2019,-0.285068094,0.006507658,-0.003285991,2.517,0.018907493,-0.015383137,-0.005780363,-0.000697972,0.002146103
4/4/2019,0.37764517,-0.005712417,0.001029953,2.512,-0.010150462,-0.021322524,0.015657773,0.001085524,0.002082469
4/8/2019,0.27012376,-0.001936033,-0.001059298,2.519,0.017328472,0.032287624,-0.006543099,0.004921951,0.001046902
4/9/2019,-0.128712106,-0.003924489,0.002117475,2.499,-0.016163227,-0.023258912,0.009798663,0.004286924,-0.006085953
4/10/2019,-0.180784277,0.007507338,0.002005927,2.477,0.022716803,0.006919784,-0.016070242,-0.01578352,0.003471834
4/11/2019,0.274594832,-0.001769366,-0.002879992,2.504,-0.050075525,-0.069101359,0.004863899,0.001550869,3.81E-05
4/15/2019,1.451832998,-0.001933134,0.002612813,2.553,-0.019661686,-0.03803799,0.010200167,-0.011096465,-0.000629624
4/16/2019,-0.538502307,-0.024652832,-0.003444197,2.592,0.03270341,0.036755746,-0.004537994,-0.000314367,0.000509235
4/17/2019,-0.475022792,-0.006572022,-0.000154036,2.592,0.00312342,-0.00402114,0.003757049,-0.00023584,-0.002276364
4/23/2019,0.196475304,-0.002022234,0.002047998,2.57,0.031537679,-0.002486666,-0.006203212,0.004872691,0.008802364
4/24/2019,0.71340394,0.007482655,0.004420439,2.522,-0.019479347,-0.033339222,-0.010373854,0.000235174,-0.002194192
4/25/2019,-0.85858595,0.002573949,-0.000919315,2.534,-0.04766091,-0.071008372,-0.029727502,0.007107461,-0.000369015
4/29/2019,0.02924185,-0.001892455,-0.003737578,2.536,-0.007175279,-0.013396025,0.006435938,0.003279459,0.001070899
4/30/2019,1.577621039,0.006752255,0.001931805,2.509,0.019508687,0.043893225,-0.004862373,-0.001091959,0.000950948
5/1/2019,-1.787405613,0.009200248,0.001163414,2.511,0.009665965,-0.008345263,-0.028548307,-0.009172578,-0.007530413
5/2/2019,0.522370103,-0.004432359,-0.005138403,2.552,0.01880998,0.008078563,0.002101011,0.00745423,-0.002126258
5/7/2019,0.456017387,-0.015145121,0.003563104,2.448,0.014287066,-0.016671657,0.011658163,-0.003199503,-0.016649515
5/8/2019,-0.23655209,-0.001133009,-0.003149561,2.482,0.025899955,0.006747006,-0.006784067,0.003199503,-0.001606671
5/9/2019,-0.248879182,-0.002921593,0.000122498,2.457,0.031601133,-0.003861591,-0.000648508,0.001712596,-0.003026016
5/13/2019,0.273086453,0.001237283,0.001789963,2.405,0.11407867,0.049576366,0.012050301,-0.004162177,-0.024426545
5/14/2019,-0.404149318,0.006586581,-0.000672773,2.419,0.022709208,0.098158662,0.003877226,0.001235045,0.00798406
5/15/2019,1.037967121,0.007397371,0.004121262,2.379,0.026020896,0.129426028,0.013612189,-0.008755334,0.005821977
5/16/2019,-0.295278673,0.004042636,-0.001097344,2.405,-0.039813494,0.065979194,-0.001751175,-0.008204774,0.00885592
5/20/2019,0.249330925,-0.01340547,-0.001477589,2.416,-0.027125846,-0.036748457,-0.001744786,-0.003218087,-0.006772241
5/21/2019,0.010453644,0.00801304,-0.001433976,2.426,-0.001879537,0.013218892,-0.025240469,0.001257071,0.008459905
5/22/2019,-0.252849127,0.000435741,0.002546179,2.393,-0.036218764,-0.042081247,-0.058845434,0.008755528,-0.002828362
5/23/2019,0.142294183,0.000680448,0.007554533,2.296,0.025934033,0.005163433,0.01235643,-0.001401979,-0.011985682
5/28/2019,-0.770673959,-0.00339505,0.004834065,2.268,-0.009793263,-0.004017156,-0.005595606,0.00320676,-0.008410891
5/29/2019,-0.249434516,-0.020159546,0.001551007,2.236,-0.006959352,-0.008547409,-0.038479617,0.005062908,-0.006935956
5/30/2019,-0.269148551,0.001850782,0.003289798,2.227,-0.040056648,-0.051777646,-0.056150637,0.014424254,0.002096241
6/3/2019,0.55440627,-0.001257959,0.003570104,2.081,-0.063018059,-0.067418305,0.004309948,0.000529081,-0.002769032
6/4/2019,-0.790316193,-0.007843316,-0.004792817,2.119,-0.063001478,-0.045636865,-0.034236893,0.003695747,0.021205902
6/5/2019,-0.014314587,0.020257903,-0.002210639,2.123,0.014996474,0.023393115,0.017455128,0.006977034,0.008128769
6/6/2019,0.209439934,0.001863135,0.001598721,2.124,-0.000282241,0.009761211,0.026272857,0.002687772,0.00611681
6/10/2019,0.457712209,-0.006206835,-0.003804377,2.143,0.039812033,0.060081409,0.000187741,0.001282487,0.004649257
6/11/2019,-0.294157291,-0.000470818,0.001071445,2.14,-0.009117973,-0.007047623,-0.040806351,0.004137989,-0.000349938
6/12/2019,0.405744477,0.007265506,0.00013385,2.127,0.02714474,0.05970553,0.022046919,0.005465927,-0.002039698
6/13/2019,0.052242564,0.002427907,0.003043962,2.091,0.010388753,-0.018313227,0.004389739,0.000671817,0.004089078
6/17/2019,-0.102816447,0.011483704,0.002042599,2.086,0.035588478,0.018867894,0.03723382,0.005883903,0.000931336
6/18/2019,0.991884075,-0.002531805,0.004116902,2.06,-0.025932151,-0.034483228,-0.002600782,-0.001486326,0.009670463
6/19/2019,-0.120507183,0.002018043,0.002647099,2.029,0.020894884,0.016389808,0.052362291,0.035291334,0.00298073
6/20/2019,-0.159055967,0.011385127,0.00448405,2.001,0.026983496,0.008364868,0.013674827,0.002366356,0.009427615
6/24/2019,0.799322029,-0.005695949,0.005063598,2.021,0.014244097,0.008400805,-0.001209712,0.000424148,-0.001733435
6/25/2019,-0.685242001,3.99E-05,-0.004183678,1.994,0.068425403,0.024507206,0.026449797,-0.002335044,-0.009541702
6/26/2019,0.492611075,-0.022908718,0.000791267,2.049,0.098867663,0.056901729,0.00084168,-0.002269505,-0.001234746
6/27/2019,-0.117690516,-0.003862767,0.006133018,2.005,-0.151819674,-0.134860551,-0.016285347,0.000922607,0.003815923
7/1/2019,-0.163177395,-0.009180678,-0.001571298,2.034,-0.02187165,0.010080325,-0.049255664,0.013619306,0.007642996
7/3/2019,0.050698764,0.013991096,0.003529586,1.953,0.101972423,0.038691927,0.019192419,0.009283275,0.007643076
7/8/2019,0.110339959,0.003908004,0.002066567,2.034,0.070393312,0.024400009,0.00294398,0.000357846,-0.004847186
7/9/2019,0.101563228,0.001664464,-0.002416269,2.054,0.023159293,-0.014049948,0.043977998,0.008975698,0.001235816
7/10/2019,0.392801119,0.007377741,-0.001516787,2.061,-0.033751227,-0.063067209,-0.003813318,-0.004121666,0.004500485
7/11/2019,-0.097357324,-0.012830803,-0.006369308,2.12,-0.067884417,-0.076278365,0.000166099,0.003979822,0.002282672
7/15/2019,0.304292127,0.002566989,0.001714475,2.092,0.060443601,0.009611608,-0.033450218,-0.001559952,0.000175844
7/16/2019,0.346081238,-0.004032919,-0.002139885,2.122,-0.139376705,-0.142852435,-0.014685579,0.008549778,-0.003409581
7/17/2019,-0.54215978,-0.007604081,0.006245587,2.061,0.022551279,0.059901441,-0.026411243,0.0033715,-0.006552626
7/18/2019,-0.52134346,0.003554912,0.001063853,2.038,0.095619553,0.068883076,0.005949716,-0.000701459,0.003575536
7/22/2019,0.294744702,-0.006738454,0.000888184,2.043,-0.024449354,-0.036425159,0.009735452,-0.003655026,0.002824728
7/23/2019,-0.16444016,0.007374667,-0.002039628,2.074,-0.043707967,-0.022457954,-0.015801483,0.001899469,0.006824165
7/24/2019,0.012366656,0.003188268,0.003624748,2.05,-0.009013725,0.020094242,0.002502235,-0.006274917,0.004677164
7/25/2019,0.057530784,-0.002863583,-0.002225698,2.074,0.010131621,0.011778633,0.003207987,0.003248132,-0.005276251
7/29/2019,0.448154517,0.009766427,0.001933885,2.055,-0.003535536,0.000385826,0.020536747,0.00708949,-0.001617377
7/30/2019,-0.124616029,0.003765017,-0.00066844,2.061,0.009231028,-0.00353471,0.009088633,-0.002521186,-0.002581972
7/31/2019,0.281109378,0.004323625,0.003424661,2.021,0.048575318,0.037898229,-0.08233565,-0.003652972,-0.01094519
8/1/2019,0.421711905,-0.004390479,0.009745205,1.894,0.030662541,-0.003875265,0.031204064,0.017233987,-0.009039587
8/5/2019,-0.094100014,-0.019228729,0.005076988,1.735,0.073397413,0.050549997,-0.019572264,0.005311555,-0.030230162
8/6/2019,0.586800715,0.010037531,0.000584699,1.739,-0.028131633,-0.035613268,-0.04851983,0.023426248,0.012933014
